,Mon:1,Mon:2,Mon:3,Mon:4,Mon:5,Mon:6,Mon:7,Tue:1,Tue:2,Tue:3,Tue:4,Tue:5,Tue:6,Tue:7,Wed:1,Wed:2,Wed:3,Wed:4,Wed:5,Wed:6,Wed:7,Thu:1,Thu:2,Thu:3,Thu:4,Thu:5,Thu:6,Thu:7,Fri:1,Fri:2,Fri:3,Fri:4,Fri:5,Fri:6,Fri:7
CE4,,6/Ma1 $JGU (#CE4),6/Ma1 $JGU (#CE4),,5/Ma2 $DCO (#CE4),5/Ma2 $DCO (#CE4),,,,5/Ma2 $DCO (#CE4),,,6/Ma1 $JGU (#CE4),6/Ma1 $JGU (#CE4),,,6/Ma1 $JGU (#CE4),,,5/Ma2 $DCO (#CE4),,6/Ma1 $JGU (#CE4),,,,5/Ma2 $DCO (#CE4),5/Sc2 $DCO (#CE4),,5/Ma2 $DCO (#CE4),5/Ma2 $DCO (#CE4),,,6/Ma1 $JGU (#CE4),,5/Ps3 $DCO (#CE4)
CN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO1,MD4 $GSW (#CO1),10B/Mu1 $EJO (#CO1),,,,,,,9B/Mu1 $GSW (#CO1),,,,,,,9B/Mu1 $EJO (#CO1),,,,,,,,7/Mu1 $EJO (#CO1),,,,6/Mu3 $GSW (#CO1),,8/Mu5 $GSW (#CO1),11A/Mu1 $EJO (#CO1),,8/Mu4 $GSW (#CO1),,10B/Mu1 $GSW (#CO1)
CO11,MH4 $AWA (#CO11),13C/Ma1b $AWA (#CO11),7/Ma5 $AWA (#CO11),13B/Ma1a $AWA (#CO11),,8/Ma4 $ASI (#CO11),11/Ma3 $BBE (#CO11),8/Ma4 $STR (#CO11),12E/Ma1a $STR (#CO11),7/Ma5 $STR (#CO11),10/Ma4 $SAY (#CO11),,9/Ma1 $STR (#CO11),11/Ma3 $STR (#CO11),9/Ma1 $STR (#CO11),12E/Ma1a $STR (#CO11),10/Ma4 $SAY (#CO11),11/Ma3 $STR (#CO11),,8/Ma4 $STR (#CO11),7/Ma5 $STR (#CO11),13C/Ma1a $STR (#CO11),9/Ma1 $STR (#CO11),11/Ma3 $STR (#CO11),[DETENTION] $SSM #CO11,8/Ma4 $STR (#CO11),7/Ma5 $STR (#CO11),10/Ma4 $SAY (#CO11),7/Ma5 $STR (#CO11),10/Ma4 $SAY (#CO11),8/Ma4 $STR (#CO11),13C/Ma1a $STR (#CO11),,11/Ma3 $BBE (#CO11),9/Ma1 $STR (#CO11)
CO12,MH5 $BBE (#CO12),12B/Ma1a $BBE (#CO12),7/Ma3 $BBE (#CO12),12E/Ma1b $BBE (#CO12),,8/Ma1 $BBE (#CO12),11/Ma2 $AWA (#CO12),8/Ma1 $BBE (#CO12),,7/Ma3 $BBE (#CO12),10/Ma2 $BBE (#CO12),,9/Ma2 $JWI (#CO12),11/Ma2 $AWA (#CO12),9/Ma2 $JWI (#CO12),,10/Ma2 $BBE (#CO12),11/Ma2 $AWA (#CO12),,8/Ma1 $BBE (#CO12),7/Ma3 $BBE (#CO12),9C/Ss1 $SSM (#CO12),9/Ma2 $JWI (#CO12),11/Ma2 $AWA (#CO12),,8/Ma1 $BBE (#CO12),7/Ma3 $BBE (#CO12),10/Ma2 $BBE (#CO12),7/Ma3 $BBE (#CO12),10/Ma2 $BBE (#CO12),8/Ma1 $BBE (#CO12),12B/Ma1a $BBE (#CO12),,11/Ma2 $AWA (#CO12),9/Ma2 $JWI (#CO12)
CO2,SD2 $EJO (#CO2),12B/Mu1a $PSA (#CO2),,13B/Mu1b $EJO (#CO2),,,,7/Mu3 $GSW (#CO2),13B/Mu1b $EJO (#CO2),,12B/Mu1b $EJO (#CO2),7/Mu5 $GSW (#CO2),5/Mu2 $GSW (#CO2),,,13B/Mu1a $PSA (#CO2),,12B/Mu1b $EJO (#CO2),,6/Mu1 $GSW (#CO2),6/Mu2 $GSW (#CO2),7/Mu4 $GSW (#CO2),11A/Mu1 $GSW (#CO2),5/Mu3 $GSW (#CO2),12B/Mu1a $PSA (#CO2),7/Mu2 $GSW (#CO2),,13B/Mu1a $PSA (#CO2),,8/Mu3 $EJO (#CO2),5/Mu1 $GSW (#CO2),12B/Mu1a $PSA (#CO2),8/Mu1 $EJO (#CO2),,13B/Mu1a $PSA (#CO2)
CO21,MP3 $FLO (#CO21),7/Re2 $FLO (#CO21),7/Ma4 $JWI (#CO21),[DETENTION] $SAY #CO21,8/Hi4 $FLO (#CO21),10C/Hi1 $FLO (#CO21),8/Hi5 $FLO (#CO21),10A/Hi1 $FLO (#CO21),9B/Hi1 $FLO (#CO21),7/Ma4 $JWI (#CO21),,7/Hi2 $FLO (#CO21),8/Hi1 $FLO (#CO21),12C/Fm1b $JWI (#CO21),10C/Hi1 $FLO (#CO21),9B/Hi1 $FLO (#CO21),9/Re3 $FLO (#CO21),13E/Fm1b $JWI (#CO21),8/Re1 $FLO (#CO21),7/Ps4 $FLO (#CO21),8/Ps4 $FLO (#CO21),7/Gg2 $FLO (#CO21),7/Re5 $FLO (#CO21),8/Re3 $FLO (#CO21),10A/Hi1 $FLO (#CO21),,7/Ma4 $JWI (#CO21),,7/Ma4 $JWI (#CO21),7/Re3 $FLO (#CO21),8/Ma5 $PRO (#CO21),,8/Hi2 $FLO (#CO21),9/Re2 $FLO (#CO21),8/Gg3 $FLO (#CO21)
CO22,SP1 $SPE (#CO22),9/En2 $SPE (#CO22),8/En2a $PTH (#CO22),10/En3 $SPE (#CO22),,11/En4 $SPE (#CO22),7/En2a $SPE (#CO22),11/En4 $SPE (#CO22),10/En3 $SPE (#CO22),9/En2 $SPE (#CO22),,8/En2a $PTH (#CO22),7/En2a $SPE (#CO22),7/En2a $SPE (#CO22),11/En4 $SPE (#CO22),10/En3 $SPE (#CO22),8/En2a $PTH (#CO22),9/En2 $SPE (#CO22),,7/Ps6 $SPE (#CO22),,10/En3 $SPE (#CO22),8/En2a $PTH (#CO22),,9/En2 $SPE (#CO22),,11/En4 $SPE (#CO22),7/En2a $SPE (#CO22),8/En2a $PTH (#CO22),12E/Fm1b $AWA (#CO22),7/En2a $SPE (#CO22),9/En2 $SPE (#CO22),,10/En3 $SPE (#CO22),11/En4 $SPE (#CO22)
